,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
2004,4041,Cacheu,1879,2020,Part of,404.0
2007,4042,Bissau,1879,2020,Part of,404.0
2009,4043,Oio,1905,2020,Part of,404.0
2010,4050,St. Helena,1816,2020,Colony of,200.0
2011,4051,Longwood,1816,2020,Part of,4050.0
2012,4051,Longwood,1858,2020,Possession of,220.0
2013,4060,Tristan da Cunha,1816,1938,Possession of,200.0
2015,4070,Ascension I.,1816,1922,Possession of,200.0
2019,4111,Annobon I.,1855,2020,Part of,411.0
2021,4112,Corisco I.,1858,2020,Part of,411.0
2028,4322,Timbuctu,1892,2020,Part of,432.0
2030,4323,Bambuk,1887,1960,Part of,432.0
2035,4324,Dinguiray,1893,2020,Part of,438.0
2039,4325,Kaarta,1904,2020,Part of,432.0
